"","gridcode","OBJECTID","Join_Count","TARGET_FID","Id","Id_1","gridcode_1","Shape_Length","Shape_Area","area_ha","cost_ha","new_prob","cum_area_ha"
"5568",30895,7419,6,7419,7419,7007,271983,11400,6150000,615,442.248780487805,0.2904,331069
"911",7404,7542,8,7542,7542,7300,274154,3400,7e+05,70,3916.48571428571,0.84975,331139
"2810",14987,1775,3,1775,1775,1649,63756,3600,8e+05,80,796.95,0.5964,331219
"1553",10353,5399,5,5399,5399,5161,218590,3400,720000,72,3035.97222222222,0.76095,331291
"347",3231,10078,4,10078,10078,9517,30217,3400,720000,72,419.680555555556,0.9186,331363
"3969",21967,741,5,741,741,726,9144600,3000,560000,56,163296.428571429,0.4758,331419
"4244",23234,1037,2,1037,1037,1018,219750,3600,8e+05,80,2746.875,0.46695,331499
"393",3854,9635,3,9635,9635,9287,276402,5000,1500000,150,1842.68,0.9129,331649
"417",4236,19037,9,19037,19037,18318,419413,6400,1260000,126,3328.6746031746,0.9099,331775
"2472",13812,5601,10,5601,5601,5141,280011,11600,3260000,326,858.929447852761,0.64125,332101
"1183",8861,6744,3,6744,6744,6507,94000,2800,490000,49,1918.36734693878,0.81165,332150
"5856",32218,6321,3,6321,6321,6094,90758,8400,3690000,369,245.956639566396,0.249,332519
"7236",36977,899,6,899,899,824,45601,3000,560000,56,814.303571428571,0.0543,332575
"1285",9347,6248,2,6248,6248,6092,34012,3400,7e+05,70,485.885714285714,0.79785,332645
"4355",23982,12009,6,12009,12009,10887,315244,3400,7e+05,70,4503.48571428571,0.4521,332715
"1892",11368,4342,3,4342,4342,4111,348322,3400,7e+05,70,4976.02857142857,0.71415,332785
"4568",25319,11559,7,11559,11559,10454,141900,6400,2550000,255,556.470588235294,0.4242,333040
"2960",15688,1344,3,1344,1344,1246,11098916,3400,7e+05,70,158555.942857143,0.57855,333110
"2184",12460,10938,18,10938,10938,10255,687221,17000,6020000,602,1141.56312292359,0.67755,333712
"3416",18048,368,5,368,368,310,418328,3600,8e+05,80,5229.1,0.51975,333792
"4870",27037,19033,12,19033,19033,18254,627709,9000,2250000,225,2789.81777777778,0.38355,334017
"1283",9331,6270,1,6270,6270,6114,278250,4000,1e+06,100,2782.5,0.798,334117
"4771",26528,10098,3,10098,10098,9466,111241,7200,2430000,243,457.781893004115,0.3969,334360
"4167",22873,10269,3,10269,10269,9628,146255,8400,2760000,276,529.909420289855,0.47085,334636
"5879",32342,6249,7,6249,6249,5921,56510,8400,2750000,275,205.490909090909,0.2457,334911
"4514",24952,11481,4,11481,11481,10335,117942,6800,2190000,219,538.547945205479,0.4308,335130
"5196",28864,8873,15,8873,8873,8044,65525,29800,17630000,1763,37.1667612024957,0.3432,336893
"1245",9140,13403,13,13403,13403,12875,234994,9600,2680000,268,876.843283582089,0.8031,337161
"1758",10955,4917,7,4917,4917,4599,147137,8400,3690000,369,398.745257452575,0.73155,337530
"2128",12188,3599,3,3599,3599,3484,276437,3000,560000,56,4936.375,0.68355,337586
"1250",9170,6534,3,6534,6534,6301,57720,3000,560000,56,1030.71428571429,0.80235,337642
"2273",12950,3188,3,3188,3188,3008,222582,4400,1050000,105,2119.82857142857,0.66705,337747
"170",1251,11371,4,11371,11371,10292,215483,3400,7e+05,70,3078.32857142857,0.93705,337817
"6282",33492,4707,5,4707,4707,4476,224599,3400,7e+05,70,3208.55714285714,0.18795,337887
"5150",28699,16935,8,16935,16935,16479,335611,6000,1120000,112,2996.52678571429,0.34875,337999
"1922",11486,17814,13,17814,17814,16978,694849,14400,3080000,308,2256.00324675325,0.70995,338307
"1151",8742,13946,12,13946,13946,13520,1627680,7200,1600000,160,10173,0.81645,338467
"152",1013,11654,1,11654,11654,10589,166137,3800,9e+05,90,1845.96666666667,0.93945,338557
"1627",10559,5151,3,5151,5151,5003,213756,2800,490000,49,4362.36734693878,0.75,338606
"2267",12892,3347,1,3347,3347,3249,207900,3000,560000,56,3712.5,0.6678,338662
"1084",8378,7085,2,7085,7085,6917,81815,3800,9e+05,90,909.055555555556,0.82575,338752
"1572",10417,5342,1,5342,5342,5196,421925,3600,8e+05,80,5274.0625,0.75825,338832
"6243",33346,4886,2,4886,4886,4656,282006,3400,7e+05,70,4028.65714285714,0.1935,338902
"2070",11965,7702,8,7702,7702,7453,376756,6400,1260000,126,2990.12698412698,0.69045,339028
"6518",34275,3822,2,3822,3822,3698,285125,3000,560000,56,5091.51785714286,0.1548,339084
"7350",37433,507,8,507,507,437,62750,3800,9e+05,90,697.222222222222,0.0384,339174
"1489",10201,11221,7,11221,11221,10922,781412,7000,1520000,152,5140.86842105263,0.77025,339326
"6562",34486,3665,4,3665,3665,3548,460873,6600,2140000,214,2153.61214953271,0.14895,339540
"5190",28847,8343,6,8343,8343,8074,258533,3400,7e+05,70,3693.32857142857,0.3441,339610
"613",5739,25891,12,25891,25891,25226,20220496,9800,1990000,199,101610.532663317,0.88875,339809
"1344",9707,6113,5,6113,6113,5882,617970,4400,1050000,105,5885.42857142857,0.7902,339914
"5096",28349,8597,5,8597,8597,8321,225028,3400,7e+05,70,3214.68571428571,0.3561,339984
"2224",12666,7141,7,7141,7141,6922,697114,8600,2200000,220,3168.7,0.6726,340204
"5701",31545,13637,9,13637,13637,13019,226083,13800,4690000,469,482.053304904051,0.27165,340673
"4594",25552,11202,2,11202,11202,10425,342345,3000,560000,56,6113.30357142857,0.4206,340729
"6672",34908,3263,3,3263,3263,3168,399155,3600,8e+05,80,4989.4375,0.135,340809
"4370",24051,12025,5,12025,12025,10859,1639880,6800,2400000,240,6832.83333333333,0.44985,341049
"1359",9796,6160,5,6160,6160,5920,69950,2800,490000,49,1427.55102040816,0.78795,341098
"5000",27966,9028,5,9028,9028,8814,23387,3600,8e+05,80,292.3375,0.36855,341178
"4312",23789,2947,2,2947,2947,2781,898363,3400,7e+05,70,12833.7571428571,0.4575,341248
"1571",10412,10896,11,10896,10896,10511,192091,8000,1920000,192,1000.47395833333,0.7584,341440
"285",2553,10461,3,10461,10461,9726,6363,3200,630000,63,101,0.92475,341503
"5699",31538,6716,4,6716,6716,6478,42560,3600,8e+05,80,532,0.27195,341583
"214",1716,11019,1,11019,11019,10068,118005,3400,7e+05,70,1685.78571428571,0.9318,341653
"1193",8898,6557,4,6557,6557,6335,752800,3000,560000,56,13442.8571428571,0.8103,341709
"3256",17325,762,3,762,762,746,106433,4400,1050000,105,1013.64761904762,0.54195,341814
"591",5583,8616,10,8616,8616,8265,737892,5000,1360000,136,5425.67647058824,0.89115,341950
"450",4529,9300,4,9300,9300,9048,18000,2800,490000,49,367.34693877551,0.906,341999
"7123",36623,1387,3,1387,1387,1282,89884,3600,8e+05,80,1123.55,0.0700500000000001,342079
"2537",14022,2668,3,2668,2668,2519,325656,5400,1700000,170,1915.62352941176,0.63255,342249
"1191",8885,6732,4,6732,6732,6491,154806,3000,560000,56,2764.39285714286,0.8106,342305
"934",7617,7558,5,7558,7558,7310,19081,3400,7e+05,70,272.585714285714,0.84705,342375
"1355",9784,12294,4,12294,12294,11987,117352,7400,1700000,170,690.305882352941,0.78855,342545
"3372",17822,580,2,580,580,571,55300,3200,640000,64,864.0625,0.5256,342609
"4315",23799,2706,4,2706,2706,2395,1801275,8400,2960000,296,6085.38851351351,0.4572,342905
"2897",15399,3279,14,3279,3279,3044,176580,7800,1910000,191,924.502617801047,0.58605,343096
"1691",10717,4976,6,4976,4976,4748,150157,5000,1500000,150,1001.04666666667,0.7407,343246
"4682",26096,10917,6,10917,10917,9929,535522,7200,2440000,244,2194.76229508197,0.4092,343490
"3563",18954,102,9,102,102,41,318250,6400,1290000,129,2467.05426356589,0.50055,343619
"4680",26085,10876,5,10876,10876,9940,631170,5600,1800000,180,3506.5,0.4095,343799
"4471",24527,23114,8,23114,23114,20984,641801,8000,1930000,193,3325.39378238342,0.4362,343992
"3164",16918,3143,9,3143,3143,2943,178154,14200,4e+06,400,445.385,0.55455,344392
"663",6022,8276,2,8276,8276,8006,315860,3200,630000,63,5013.65079365079,0.88275,344455
"1075",8332,7223,4,7223,7223,6969,366169,6800,2330000,233,1571.54077253219,0.8271,344688
"4359",24000,12026,3,12026,12026,10939,216054,6400,1750000,175,1234.59428571429,0.4515,344863
"5994",32772,5687,9,5687,5687,5451,192987,3400,7e+05,70,2756.95714285714,0.22935,344933
"2218",12631,3465,5,3465,3465,3282,181187,6800,1990000,199,910.48743718593,0.6735,345132
"3366",17803,1067,11,1067,1067,988,685200,10000,2980000,298,2299.3288590604,0.5265,345430
"1314",9506,6181,3,6181,6181,5943,20425,3400,7e+05,70,291.785714285714,0.79365,345500
"210",1668,11079,5,11079,11079,10076,886659,3400,7e+05,70,12666.5571428571,0.93225,345570
"3554",18880,24,3,24,24,24,301282,3600,8e+05,80,3766.025,0.50175,345650
"327",2982,10184,2,10184,10184,9610,953745,3600,8e+05,80,11921.8125,0.92055,345730
"3655",20128,9936,3,9936,9936,9427,714252,3600,8e+05,80,8928.15,0.49485,345810
"2374",13457,3128,3,3128,3128,3041,1323111,3000,560000,56,23626.9821428571,0.65445,345866
"2315",13182,9904,10,9904,9904,9532,1435283,11400,2690000,269,5335.62453531598,0.6615,346135
"1435",10088,5686,8,5686,5686,5449,192987,7000,2500000,250,771.948,0.77775,346385
"5785",31915,13117,5,13117,13117,12635,686020,6800,1400000,140,4900.14285714286,0.2592,346525
"5216",28938,8428,6,8428,8428,8076,978314,10600,4140000,414,2363.07729468599,0.34035,346939
"755",6432,8144,5,8144,8144,7802,132100,5400,1700000,170,777.058823529412,0.8706,347109
"409",4144,9661,4,9661,9661,9265,75165,2800,490000,49,1533.97959183673,0.91065,347158
"2958",15651,1338,2,1338,1338,1241,110536,3400,7e+05,70,1579.08571428571,0.57885,347228
"5028",28066,8978,5,8978,8978,8687,44450,3200,630000,63,705.555555555556,0.36465,347291
"1041",8202,7086,7,7086,7086,6837,105225,3400,720000,72,1461.45833333333,0.8319,347363
"3450",18258,323,5,323,323,228,69300,4800,1190000,119,582.352941176471,0.51525,347482
"2292",13082,3049,9,3049,3049,2867,1401897,3400,7e+05,70,20027.1,0.66435,347552
"4615",25717,11131,5,11131,11131,10100,71990,3600,8e+05,80,899.875,0.4179,347632
"2439",13725,2707,4,2707,2707,2556,110000,2800,490000,49,2244.89795918367,0.6459,347681
"2797",14937,1834,4,1834,1834,1795,94586,4800,1190000,119,794.840336134454,0.5979,347800
"1994",11725,8340,10,8340,8340,7888,1006090,10400,2690000,269,3740.11152416357,0.7008,348069
"695",6116,8429,1,8429,8429,8242,100497,3600,8e+05,80,1256.2125,0.8787,348149
"1404",10012,5778,2,5778,5778,5629,311435,3200,630000,63,4943.4126984127,0.78225,348212
"391",3769,9786,2,9786,9786,9292,1031500,4800,1190000,119,8668.06722689076,0.9132,348331
"1507",10244,5437,6,5437,5437,5212,413732,3400,720000,72,5746.27777777778,0.76755,348403
"2535",14015,2581,1,2581,2581,2517,88795,3600,8e+05,80,1109.9375,0.63285,348483
"1710",10760,5098,6,5098,5098,4867,162202,3400,7e+05,70,2317.17142857143,0.73785,348553
"4764",26491,10080,6,10080,10080,9520,135777,8400,3530000,353,384.637393767705,0.39795,348906
"767",6508,7932,3,7932,7932,7753,353416,3400,7e+05,70,5048.8,0.86895,348976
"1888",11351,9014,6,9014,9014,8551,1347761,13200,4250000,425,3171.20235294118,0.71475,349401
"48",254,12063,8,12063,12063,10942,276690,8400,2920000,292,947.568493150685,0.95295,349693
"1566",10399,5422,5,5422,5422,5273,523638,3400,720000,72,7272.75,0.75915,349765
"648",5949,17206,7,17206,17206,16734,92135,6600,1360000,136,677.463235294118,0.88425,349901
"5080",28279,8673,3,8673,8673,8480,10655,3000,560000,56,190.267857142857,0.35805,349957
"1491",10203,5673,8,5673,5673,5440,219902,5000,1500000,150,1466.01333333333,0.76995,350107
"2780",14858,3944,9,3944,3944,3861,96992336,9800,2750000,275,352699.403636364,0.6,350382
"1929",11502,8540,6,8540,8540,8176,301250,6800,1490000,149,2021.81208053691,0.70905,350531
"5497",30484,14821,12,14821,14821,14401,571172,6000,1120000,112,5099.75,0.3009,350643
"4798",26676,19927,8,19927,19927,18894,4421264,10800,2800000,280,15790.2285714286,0.3933,350923
"6170",33186,5545,12,5545,5545,4967,139652,13400,5990000,599,233.141903171953,0.204,351522
"1381",9947,12019,8,12019,12019,11718,158493,6200,1190000,119,1331.87394957983,0.78525,351641
"1189",8882,6647,4,6647,6647,6346,257206,5000,1500000,150,1714.70666666667,0.8109,351791
"600",5650,8691,7,8691,8691,8268,182129,8400,3620000,362,503.118784530387,0.89025,352153
"643",5908,8339,3,8339,8339,8072,344600,4000,1e+06,100,3446,0.88485,352253
"5599",31010,7226,3,7226,7226,7057,181480,3800,9e+05,90,2016.44444444444,0.2859,352343
"590",5566,17661,6,17661,17661,16954,2241890,11800,3450000,345,6498.23188405797,0.8913,352688
"6322",33667,9233,7,9233,9233,8768,311129,10800,3190000,319,975.326018808777,0.18255,353007
"836",6935,23596,13,23596,23596,22811,381466,9600,1920000,192,1986.80208333333,0.8598,353199
"2986",15874,1276,2,1276,1276,1247,11743875,3000,560000,56,209712.053571429,0.5754,353255
"5127",28479,8727,5,8727,8727,8448,257930,5000,1360000,136,1896.54411764706,0.35205,353391
"6164",33180,5187,6,5187,5187,4950,215706,3600,8e+05,80,2696.325,0.2049,353471
"7132",36668,1449,6,1449,1449,1340,105770,3400,720000,72,1469.02777777778,0.0688500000000001,353543
"1486",10194,11357,6,11357,11357,11058,225016,5600,980000,98,2296.08163265306,0.7707,353641
"3645",19903,10125,6,10125,10125,9503,497859,10000,4260000,426,1168.68309859155,0.4956,354067
"3102",16596,1220,3,1220,1220,1121,117645,4400,1050000,105,1120.42857142857,0.56205,354172
"3199",17088,842,3,842,842,825,42524,3400,7e+05,70,607.485714285714,0.5496,354242
"3508",18604,140,7,140,140,97,64340,5000,1500000,150,428.933333333333,0.507,354392
"3231",17235,831,2,831,831,814,199215,3400,7e+05,70,2845.92857142857,0.54525,354462
"3353",17771,496,3,496,496,489,209000,3200,640000,64,3265.625,0.52845,354526
"1679",10693,10053,10,10053,10053,9597,1187713,6600,1360000,136,8733.18382352941,0.7425,354662
"987",8025,14790,5,14790,14790,14367,138221,6600,1340000,134,1031.5,0.83955,354796
"5786",31917,6547,2,6547,6547,6322,94611,7200,2440000,244,387.75,0.25905,355040
"1997",11732,4140,4,4140,4140,3817,221262,6800,2250000,225,983.386666666667,0.7005,355265
"3640",19839,9997,4,9997,9997,9467,16202,3400,7e+05,70,231.457142857143,0.4959,355335
"5253",29093,8195,3,8195,8195,7929,352184,4800,1190000,119,2959.52941176471,0.33495,355454
"325",2953,10143,3,10143,10143,9593,146255,3600,8e+05,80,1828.1875,0.9207,355534
"2044",11867,4064,4,4064,4064,3744,45396872,11800,4530000,453,100213.845474614,0.69405,355987
"1951",11578,4471,6,4471,4471,4053,499260,9800,3240000,324,1540.92592592593,0.7065,356311
"2640",14331,4886,6,4886,4886,4609,989720,8200,1950000,195,5075.48717948718,0.61845,356506
"5005",27992,9157,3,9157,9157,8930,138370,8000,3190000,319,433.761755485893,0.36795,356825
"6315",33646,4664,7,4664,4664,4336,411426,4800,1190000,119,3457.36134453782,0.18345,356944
"1891",11367,4350,5,4350,4350,4117,169879,2800,490000,49,3466.91836734694,0.7143,356993
"2415",13630,2878,3,2878,2878,2728,112250,2800,490000,49,2290.81632653061,0.64905,357042
"1298",9440,6196,7,6196,6196,5955,94100,3000,560000,56,1680.35714285714,0.7959,357098
"261",2330,10552,2,10552,10552,9948,2122,4600,1200000,120,17.6833333333333,0.9264,357218
"4785",26613,9880,3,9880,9880,9441,24713,3400,7e+05,70,353.042857142857,0.39495,357288
"1810",11100,4757,8,4757,4757,4425,389810,7000,2500000,250,1559.24,0.72495,357538
"2016",11781,4084,6,4084,4084,3857,169660,3400,720000,72,2356.38888888889,0.69795,357610
"562",5439,8957,5,8957,8957,8750,106715,3800,9e+05,90,1185.72222222222,0.89475,357700
"1128",8666,6875,4,6875,6875,6708,13608,3000,560000,56,243,0.8196,357756
"1094",8467,21122,11,21122,21122,20543,574171,13400,3680000,368,1560.2472826087,0.8244,358124
"2156",12310,3511,4,3511,3511,3398,3642210,3400,720000,72,50586.25,0.6804,358196
"6157",33162,5307,2,5307,5307,5160,213635,3000,560000,56,3814.91071428571,0.20595,358252
"4670",26017,10937,2,10937,10937,10016,2122,3200,640000,64,33.15625,0.4107,358316
"2204",12577,6937,8,6937,6937,6562,401828,8000,1830000,183,2195.78142076503,0.675,358499
"783",6633,24577,10,24577,24577,23861,275573,9800,2050000,205,1344.25853658537,0.86685,358704
"2814",15006,1782,7,1782,1782,1656,40772,3600,8e+05,80,509.65,0.59595,358784
"5919",32561,6024,3,6024,6024,5709,212050,5000,1500000,150,1413.66666666667,0.24015,358934
"4326",23846,1662,4,1662,1662,1548,96660,5000,1260000,126,767.142857142857,0.45615,359060
"2577",14125,2440,4,2440,2440,2315,277371,4800,1190000,119,2330.8487394958,0.627,359179
"1301",9453,6206,1,6206,6206,6051,32531,3600,8e+05,80,406.6375,0.7956,359259
"4756",26450,10079,5,10079,10079,9519,100879,3400,720000,72,1401.09722222222,0.39915,359331
"2109",12083,3689,3,3689,3689,3570,260560,3600,8e+05,80,3257,0.6855,359411
"2653",14373,2186,2,2186,2186,2137,48800,3800,9e+05,90,542.222222222222,0.6165,359501
"2795",14929,1788,8,1788,1788,1665,75064,3400,7e+05,70,1072.34285714286,0.59805,359571
"6400",33924,4456,2,4456,4456,4317,410517,7000,2360000,236,1739.47881355932,0.1716,359807
"1796",11067,13922,13,13922,13922,13317,3439753,11800,2960000,296,11620.7871621622,0.7266,360103
"576",5493,8617,5,8617,8617,8345,73345,3400,7e+05,70,1047.78571428571,0.89325,360173
"1063",8276,7041,1,7041,7041,6874,294665,3600,8e+05,80,3683.3125,0.8289,360253
"4904",27202,9649,3,9649,9649,9251,53033,4400,1050000,105,505.076190476191,0.3792,360358
"972",7916,7422,2,7422,7422,7251,202670,3400,7e+05,70,2895.28571428571,0.84165,360428
"1763",10966,9949,4,9949,9949,9579,786039,8000,2e+06,200,3930.195,0.7308,360628
"1049",8226,14011,5,14011,14011,13677,1000700,6600,1340000,134,7467.91044776119,0.83085,360762
"3887",21537,4107,3,4107,4107,3977,114582,3000,560000,56,2046.10714285714,0.47895,360818
"5266",29152,16253,6,16253,16253,15803,117450,5800,1050000,105,1118.57142857143,0.33315,360923
"873",7171,7732,5,7732,7732,7481,193088,6400,1990000,199,970.291457286432,0.85485,361122
"4548",25143,11366,3,11366,11366,10288,687017,3000,560000,56,12268.1607142857,0.42675,361178
"3243",17277,885,2,885,885,869,267450,5000,1360000,136,1966.54411764706,0.5436,361314
"1848",11212,4532,5,4532,4532,4297,119597,6400,2060000,206,580.567961165049,0.7197,361520
"4500",24805,11500,3,11500,11500,10437,86610,3600,8e+05,80,1082.625,0.4326,361600
"2750",14782,2017,4,2017,2017,1973,129360,3400,7e+05,70,1848,0.6042,361670
"3021",16056,1183,1,1183,1183,1159,569666,4000,1e+06,100,5696.66,0.5709,361770
"5268",29157,8085,6,8085,8085,7821,328305,2800,490000,49,6700.10204081633,0.33285,361819
"1656",10631,5459,2,5459,5459,5311,735480,3200,640000,64,11491.875,0.7458,361883
"445",4489,28325,8,28325,28325,27414,221478,9400,1850000,185,1197.17837837838,0.90645,362068
"4843",26924,9793,2,9793,9793,9340,250492,3000,560000,56,4473.07142857143,0.3873,362124
"1519",10275,5430,4,5430,5430,5203,164671,3400,720000,72,2287.09722222222,0.7659,362196
"2488",13852,2815,2,2815,2815,2594,60245,5000,1260000,126,478.134920634921,0.6393,362322
"792",6661,24604,10,24604,24604,23968,748207,14400,3570000,357,2095.81792717087,0.86565,362679
"5587",30965,7172,4,7172,7172,7004,236630,3000,560000,56,4225.53571428571,0.28755,362735
"2520",13958,2663,4,2663,2663,2517,88795,5400,1700000,170,522.323529411765,0.63495,362905
"4492",24734,11506,5,11506,11506,10442,823174,5000,1500000,150,5487.82666666667,0.43335,363055
"5149",28680,17083,9,17083,17083,16537,476962,8400,1990000,199,2396.79396984925,0.3489,363254
"5513",30570,15074,14,15074,15074,14416,1019560,12800,4040000,404,2523.66336633663,0.2985,363658
"2957",15647,1464,6,1464,1464,1349,120340,3200,640000,64,1880.3125,0.579,363722
"852",7054,7772,2,7772,7772,7509,93414,3400,7e+05,70,1334.48571428571,0.85785,363792
"6730",35204,2936,4,2936,2936,2773,225751,3000,560000,56,4031.26785714286,0.1266,363848
"6988",36146,1965,2,1965,1965,1925,493798,4000,1e+06,100,4937.98,0.0892500000000001,363948
"5949",32669,6052,2,6052,6052,5900,222024,3600,8e+05,80,2775.3,0.23565,364028
"4805",26724,9938,3,9938,9938,9429,89444,5000,1360000,136,657.676470588235,0.3924,364164
"5891",32416,6284,3,6284,6284,6128,199729,10400,4690000,469,425.861407249467,0.24405,364633
"4476",24577,11571,3,11571,11571,10507,157440,6000,1760000,176,894.545454545455,0.43545,364809
"1845",11206,4767,2,4767,4767,4346,254390,6600,2e+06,200,1271.95,0.72015,365009
"3854",21425,5031,2,5031,5031,4802,165418,3000,560000,56,2953.89285714286,0.48315,365065
"1422",10062,5840,4,5840,5840,5600,127460,5000,1360000,136,937.205882352941,0.77955,365201
"1597",10492,5382,6,5382,5382,5145,237690,8400,2820000,282,842.872340425532,0.7545,365483
"4645",25868,11015,3,11015,11015,10063,10068,4000,1e+06,100,100.68,0.4143,365583
"382",3591,9789,4,9789,9789,9336,397183,2800,490000,49,8105.77551020408,0.9144,365632
"1693",10719,5020,2,5020,5020,4784,116750,2800,490000,49,2382.65306122449,0.7404,365681
"2435",13709,3064,1,3064,3064,2978,181928,4400,1050000,105,1732.64761904762,0.6465,365786
"5272",29181,8098,8,8098,8098,7749,278120,4400,1120000,112,2483.21428571429,0.33225,365898
"1933",11517,4373,9,4373,4373,4046,8213566,4800,1400000,140,58668.3285714286,0.7086,366038
"1549",10341,5349,3,5349,5349,5203,164671,3200,640000,64,2572.984375,0.7614,366102
"4169",22881,10158,5,10158,10158,9529,3815730,4800,1190000,119,32064.9579831933,0.4707,366221
"1842",11199,13908,15,13908,13908,13210,666314,11400,2650000,265,2514.39245283019,0.72045,366486
"1010",8090,7270,2,7270,7270,7101,415600,3200,630000,63,6596.8253968254,0.8361,366549
"5306",29402,7867,9,7867,7867,7604,100815,3600,8e+05,80,1260.1875,0.32775,366629
"1727",10812,20037,10,20037,20037,19293,614268,12400,2410000,241,2548.82987551867,0.73545,366870
"2800",14944,1797,7,1797,1797,1677,417138,3600,8e+05,80,5214.225,0.59745,366950
"2310",13167,3249,9,3249,3249,2984,143646,5400,1700000,170,844.976470588235,0.66225,367120
"3010",15987,1308,4,1308,1308,1206,45658,3000,560000,56,815.321428571429,0.5724,367176
"3482",18403,334,1,334,334,330,146294,3200,630000,63,2322.12698412698,0.51075,367239
"1149",8738,13936,3,13936,13936,13602,495100,7000,1500000,150,3300.66666666667,0.81675,367389
"2331",13258,6142,8,6142,6142,5884,1201035,6800,1400000,140,8578.82142857143,0.6594,367529
"1695",10725,5004,4,5004,5004,4774,135695,3400,7e+05,70,1938.5,0.7401,367599
"6024",32849,17312,16,17312,17312,16611,799126,15400,4310000,431,1854.12064965197,0.225,368030
"1505",10241,5624,4,5624,5624,5388,183616,3600,8e+05,80,2295.2,0.76785,368110
"3097",16547,1147,3,1147,1147,1122,203800,4000,1e+06,100,2038,0.5628,368210
"7189",36848,1058,6,1058,1058,979,148257,3400,7e+05,70,2117.95714285714,0.0607500000000001,368280
"5469",30362,7368,5,7368,7368,7120,137915,3200,640000,64,2154.921875,0.30495,368344
"4871",27038,19276,4,19276,19276,18556,31500,6800,1400000,140,225,0.3834,368484
"1565",10395,10777,7,10777,10777,10481,206288,6600,1360000,136,1516.82352941176,0.7593,368620
"2526",13982,2683,3,2683,2683,2528,319778,5000,1360000,136,2351.30882352941,0.63405,368756
"3380",17846,1008,9,1008,1008,873,140183,8400,1990000,199,704.437185929648,0.52455,368955
"2114",12093,7526,6,7526,7526,7285,416432,6800,1400000,140,2974.51428571429,0.68505,369095
"3485",18422,731,18,731,731,558,201990,20000,6930000,693,291.471861471861,0.5103,369788
"2324",13236,3121,3,3121,3121,3034,386201,3000,560000,56,6896.44642857143,0.66015,369844
"1838",11191,4429,2,4429,4429,4292,239584,3400,7e+05,70,3422.62857142857,0.72105,369914
"1251",9174,6491,3,6491,6491,6244,19400,5400,1700000,170,114.117647058824,0.8022,370084
"7188",36847,1061,8,1061,1061,981,470266,3400,7e+05,70,6718.08571428571,0.0609000000000001,370154
"1233",9083,19678,11,19678,19678,18972,274170,11400,2830000,283,968.798586572438,0.8046,370437
"1317",9510,18792,6,18792,18792,18250,339540,11400,2760000,276,1230.21739130435,0.79335,370713
"4494",24740,11523,2,11523,11523,10459,199992,4000,1e+06,100,1999.92,0.4332,370813
"5316",29446,7975,3,7975,7975,7711,45469,5000,1360000,136,334.330882352941,0.3264,370949
"4865",27005,19340,7,19340,19340,18599,1103038,10400,3060000,306,3604.69934640523,0.38415,371255
"6033",32869,5655,5,5655,5655,5421,95965,3400,7e+05,70,1370.92857142857,0.2238,371325
"5143",28574,8509,2,8509,8509,8242,100497,6400,1750000,175,574.268571428571,0.3498,371500
"4769",26521,20075,8,20075,20075,19020,688256,7000,1540000,154,4469.1948051948,0.3972,371654
"299",2728,10396,2,10396,10396,9723,159767,3000,560000,56,2852.98214285714,0.92355,371710
"6153",33154,5490,2,5490,5490,5341,196715,3600,8e+05,80,2458.9375,0.20655,371790
"822",6821,7769,2,7769,7769,7507,134160,3400,7e+05,70,1916.57142857143,0.8619,371860
"4451",24339,11629,1,11629,11629,10564,190880,3200,630000,63,3029.84126984127,0.4389,371923
"2383",13492,3105,6,3105,3105,2828,143184,6800,2400000,240,596.6,0.65325,372163
"4623",25760,11172,6,11172,11172,10092,19713,6800,1890000,189,104.301587301587,0.41685,372352
"3334",17660,578,2,578,578,569,52500,3200,640000,64,820.3125,0.531,372416
"2693",14572,2094,4,2094,2094,2046,60245,3200,640000,64,941.328125,0.61155,372480
"2735",14744,1899,5,1899,1899,1858,128903480,2800,490000,49,2630683.26530612,0.606,372529
"2244",12739,3307,6,3307,3307,3124,129805,3400,7e+05,70,1854.35714285714,0.67035,372599
"921",7508,7544,6,7544,7544,7303,272124,4800,1190000,119,2286.75630252101,0.84855,372718
"4329",23851,1670,3,1670,1670,1556,350670,3000,560000,56,6261.96428571429,0.4557,372774
"465",4694,9266,2,9266,9266,9027,2518300,3400,7e+05,70,35975.7142857143,0.90435,372844
"3634",19748,10061,1,10061,10061,9540,131179,3600,8e+05,80,1639.7375,0.49635,372924
"494",4957,20321,7,20321,20321,19197,3279079,6400,1260000,126,26024.4365079365,0.9015,373050
"5730",31679,6727,3,6727,6727,6489,2234763,3400,7e+05,70,31925.1857142857,0.2673,373120
"4867",27014,9512,6,9512,9512,9163,16840,3200,640000,64,263.125,0.38385,373184
"5468",30348,7450,3,7450,7450,7121,53582,5000,1500000,150,357.213333333333,0.3051,373334
"1683",10697,5184,7,5184,5184,4772,361736,9800,3940000,394,918.111675126904,0.7419,373728
"4456",24371,11630,2,11630,11630,10564,190880,3400,720000,72,2651.11111111111,0.4383,373800
"4263",23400,732,2,732,732,718,210000,3200,630000,63,3333.33333333333,0.4647,373863
"1389",9981,5849,2,5849,5849,5699,45725,3400,7e+05,70,653.214285714286,0.78405,373933
"4567",25316,11478,8,11478,11478,10333,165795,5000,1360000,136,1219.08088235294,0.42435,374069
"762",6472,7927,3,7927,7927,7749,278120,3600,8e+05,80,3476.5,0.86955,374149
"2845",15156,1751,5,1751,1751,1621,94275,3600,8e+05,80,1178.4375,0.59265,374229
