"","gridcode","OBJECTID","Join_Count","TARGET_FID","Id","Id_1","gridcode_1","Shape_Length","Shape_Area","area_ha","cost_ha","new_prob","cum_area_ha"
"2598",14198,7476,15,7476,7476,7133,491828,11200,2450000,245,2007.4612244898,0.6243,8037
"933",7610,7725,3,7725,7725,7477,1581468,2800,490000,49,32274.8571428571,0.8472,8086
"3047",16204,1301,5,1301,1301,1130,89354,7800,2450000,245,364.710204081633,0.56775,8331
"6252",33393,4950,6,4950,4950,4629,42790,6800,2190000,219,195.388127853881,0.1923,8550
"2503",13916,2819,5,2819,2819,2512,119536,8000,2310000,231,517.471861471861,0.63735,8781
"3238",17260,872,8,872,872,796,50700,3400,7e+05,70,724.285714285714,0.54435,8851
"2417",13632,3031,3,3031,3031,2857,312954,4000,1e+06,100,3129.54,0.64875,8951
"1934",11523,4306,8,4306,4306,4077,238465,3400,7e+05,70,3406.64285714286,0.70845,9021
"1653",10625,5161,2,5161,5161,4918,226762,3400,7e+05,70,3239.45714285714,0.74625,9091
"6151",33146,5280,3,5280,5280,5133,594215,3600,8e+05,80,7427.6875,0.20685,9171
"3169",16936,1087,5,1087,1087,1004,101726,3000,560000,56,1816.53571428571,0.5538,9227
"525",5149,18093,5,18093,18093,17608,448646,7600,1690000,169,2654.7100591716,0.89835,9396
"2773",14849,2009,2,2009,2009,2052,225427,3000,560000,56,4025.48214285714,0.6009,9452
"2092",12026,3815,5,3815,3815,3691,102970,3400,7e+05,70,1471,0.68775,9522
"2718",14654,2266,6,2266,2266,2132,197853,3200,640000,64,3091.453125,0.6081,9586
"5104",28384,8914,7,8914,8914,8483,109808,10000,4810000,481,228.29106029106,0.35505,10067
"5561",30876,14558,10,14558,14558,14138,526179,8000,1920000,192,2740.515625,0.29145,10259
"5892",32419,6066,1,6066,6066,5915,46993,3600,8e+05,80,587.4125,0.2439,10339
"226",1869,10932,3,10932,10932,9982,122470,3000,560000,56,2186.96428571429,0.93045,10395
"4646",25869,11056,2,11056,11056,10051,84730,3000,560000,56,1513.03571428571,0.41415,10451
"351",3257,10012,2,10012,10012,9514,190644,3000,560000,56,3404.35714285714,0.918,10507
"2890",15379,3487,7,3487,3487,3412,1843676,7200,1640000,164,11241.9268292683,0.58695,10671
"1388",9976,5857,1,5857,5857,5708,715566,3800,9e+05,90,7950.73333333333,0.7842,10761
"6448",34071,3995,2,3995,3995,3779,469497,3400,720000,72,6520.79166666667,0.1647,10833
"5694",31510,13576,11,13576,13576,13104,221837,7000,1500000,150,1478.91333333333,0.2727,10983
"1426",10069,5853,3,5853,5853,5704,23050,5000,1500000,150,153.666666666667,0.7791,11133
"3402",17997,888,5,888,888,873,124645,6600,1340000,134,930.186567164179,0.5217,11267
"774",6596,16936,8,16936,16936,16304,569028,13800,4900000,490,1161.28163265306,0.86805,11757
"669",6038,8400,2,8400,8400,8214,69000,3000,560000,56,1232.14285714286,0.88185,11813
"3447",18227,243,4,243,243,205,328500,4000,1e+06,100,3285,0.5157,11913
"1021",8121,7134,4,7134,7134,6966,22355,5000,1360000,136,164.375,0.83475,12049
"893",7314,23039,13,23039,23039,22359,1146759,12600,3300000,330,3475.02727272727,0.85215,12379
"952",7784,7669,3,7669,7669,7494,176622,3600,8e+05,80,2207.775,0.8445,12459
"3401",17989,441,1,441,441,434,1286400,3200,640000,64,20100,0.52185,12523
"2919",15464,1567,4,1567,1567,1456,1223903,3400,720000,72,16998.6527777778,0.5835,12595
"3081",16444,2392,6,2392,2392,2269,171465,8400,1990000,199,861.633165829146,0.5646,12794
"1599",10496,5328,1,5328,5328,5182,231913,3400,720000,72,3221.01388888889,0.7542,12866
"1702",10743,5111,4,5111,5111,4793,175295,4200,980000,98,1788.72448979592,0.73905,12964
"92",586,23703,8,23703,23703,21518,332869,7000,1560000,156,2133.77564102564,0.94695,13120
"1294",9406,6186,7,6186,6186,5947,35300,3000,560000,56,630.357142857143,0.7965,13176
"387",3690,9956,5,9956,9956,9397,73376,5000,1360000,136,539.529411764706,0.9138,13312
"2274",12959,6566,12,6566,6566,6127,312705,10400,2960000,296,1056.43581081081,0.6669,13608
"674",6049,8720,3,8720,8720,8525,87287,3600,8e+05,80,1091.0875,0.88125,13688
"2847",15159,3626,7,3626,3626,3309,334080882,9000,2500000,250,1336323.528,0.5925,13938
"2829",15091,1752,7,1752,1752,1622,164810,3800,9e+05,90,1831.22222222222,0.59445,14028
"3117",16692,1200,4,1200,1200,1100,285678,2800,490000,49,5830.16326530612,0.56025,14077
"2391",13532,3062,2,3062,3062,2976,126000,3000,560000,56,2250,0.65205,14133
"1831",11170,13891,12,13891,13891,13286,354990,13200,3460000,346,1025.98265895954,0.7221,14479
"631",5851,8403,2,8403,8403,8216,198688,3000,560000,56,3548,0.8862,14535
"2716",14651,4156,8,4156,4156,4064,634340,8000,1920000,192,3303.85416666667,0.60825,14727
"5451",30230,7585,2,7585,7585,7413,95044,6800,2890000,289,328.871972318339,0.30735,15016
"447",4507,9356,3,9356,9356,9102,177990,3600,8e+05,80,2224.875,0.9063,15096
"2060",11931,7744,5,7744,7744,7495,456152,6000,1120000,112,4072.78571428571,0.6918,15208
"59",360,24011,9,24011,24011,21808,1057140,6000,1120000,112,9438.75,0.9513,15320
"2122",12161,3685,5,3685,3685,3481,4189839,8000,2630000,263,15930.9467680608,0.68445,15583
"1281",9315,6278,2,6278,6278,6122,2600900,3600,8e+05,80,32511.25,0.7983,15663
"1676",10688,10306,9,10306,10306,9750,509137,11200,3640000,364,1398.72802197802,0.74295,16027
"2228",12689,10370,12,10370,10370,9968,3205215,9600,1950000,195,16437,0.67215,16222
"7099",36495,1655,1,1655,1655,1620,378243,4600,1200000,120,3152.025,0.07335,16342
"687",6090,16866,6,16866,16866,16236,175348,8400,1990000,199,881.145728643216,0.8796,16541
"2679",14485,2189,2,2189,2189,2140,355488,3800,9e+05,90,3949.86666666667,0.6132,16631
"5018",28037,9047,3,9047,9047,8833,74000,3000,560000,56,1321.42857142857,0.36615,16687
"1609",10520,5087,4,5087,5087,4856,127662,3400,7e+05,70,1823.74285714286,0.7527,16757
"1920",11483,4269,4,4269,4269,4135,354391,3400,7e+05,70,5062.72857142857,0.71025,16827
"419",4239,9554,7,9554,9554,9128,369346,6400,2060000,206,1792.94174757282,0.9096,17033
"2265",12884,3259,9,3259,3259,3081,81200,3800,9e+05,90,902.222222222222,0.6681,17123
"567",5456,8735,8,8735,8735,8458,262115,3600,8e+05,80,3276.4375,0.89415,17203
"2058",11925,7773,5,7773,7773,7523,328731,6400,1290000,129,2548.3023255814,0.6921,17332
"6528",34310,3760,3,3760,3760,3641,275717,5400,1700000,170,1621.86470588235,0.1533,17502
"3453",18269,842,12,842,842,745,267418,10200,2160000,216,1238.0462962963,0.5148,17718
"1440",10096,6026,5,6026,6026,5874,668933,3000,560000,56,11945.2321428571,0.777,17774
"4420",24236,11835,5,11835,11835,10699,894630,7000,2060000,206,4342.8640776699,0.44325,17980
"193",1456,11529,5,11529,11529,10465,480100,3400,7e+05,70,6858.57142857143,0.9345,18050
"489",4916,9132,2,9132,9132,8909,17000,2800,490000,49,346.938775510204,0.90195,18099
"945",7696,7348,7,7348,7348,7092,135358,3200,640000,64,2114.96875,0.84555,18163
"400",3958,19750,5,19750,19750,18871,1299321,6400,1260000,126,10312.0714285714,0.91185,18289
"1224",9043,12995,7,12995,12995,12461,555193,8400,2290000,229,2424.42358078603,0.8058,18518
"2619",14269,4908,6,4908,4908,4785,303780,6600,1360000,136,2233.67647058824,0.6216,18654
"1472",10173,5704,3,5704,5704,5381,886959,5000,1360000,136,6521.75735294118,0.7725,18790
"644",5910,8490,4,8490,8490,8302,242749,4400,1050000,105,2311.89523809524,0.8847,18895
"3314",17572,633,7,633,633,570,67628,5600,1800000,180,375.711111111111,0.53355,19075
"3610",19511,20965,9,20965,20965,19483,2119816,8400,2180000,218,9723.92660550459,0.4974,19293
"230",1899,21962,4,21962,21962,20038,304963,6200,1200000,120,2541.35833333333,0.93,19413
"4751",26416,10160,3,10160,10160,9645,754699,3000,560000,56,13476.7678571429,0.3999,19469
"1175",8829,6569,3,6569,6569,6405,223901,3600,8e+05,80,2798.7625,0.81285,19549
"3605",19410,10514,5,10514,10514,9767,526800,3600,8e+05,80,6585,0.49755,19629
"4479",24603,11535,2,11535,11535,10471,286416,3000,560000,56,5114.57142857143,0.435,19685
"2787",14886,4153,11,4153,4153,3816,541231,15000,5990000,599,903.557595993322,0.59925,20284
"4465",24484,11581,2,11581,11581,10517,95703,3000,560000,56,1708.98214285714,0.4371,20340
"1648",10613,5107,6,5107,5107,4877,447840,5000,1260000,126,3554.28571428571,0.747,20466
"5311",29429,16343,9,16343,16343,15481,238086,19400,10660000,1066,223.34521575985,0.32715,21532
"2627",14297,2293,4,2293,2293,2157,1109189,3200,640000,64,17331.078125,0.6204,21596
"6770",35402,2872,5,2872,2872,2722,279870,3400,7e+05,70,3998.14285714286,0.1209,21666
"6194",33245,5458,12,5458,5458,4974,1307750,11800,4140000,414,3158.81642512077,0.2004,22080
"7202",36895,2129,5,2129,2129,2026,310430,6800,1490000,149,2083.42281879195,0.05925,22229
"2498",13884,2622,3,2622,2622,2558,20000,2800,490000,49,408.163265306122,0.63795,22278
"5386",29844,7762,2,7762,7762,7501,622288,3400,7e+05,70,8889.82857142857,0.3165,22348
"433",4364,9492,5,9492,9492,9142,107394,3600,8e+05,80,1342.425,0.90795,22428
"6410",33952,4220,2,4220,4220,4086,221176,3400,7e+05,70,3159.65714285714,0.1701,22498
"2528",13986,2734,6,2734,2734,2584,27950,3400,720000,72,388.194444444444,0.63375,22570
"1784",11041,4710,6,4710,4710,4385,172396,4800,1190000,119,1448.70588235294,0.72795,22689
"4344",23923,12043,5,12043,12043,10940,82316,3000,560000,56,1469.92857142857,0.45375,22745
"1130",8672,13982,4,13982,13982,13648,349040,6400,1260000,126,2770.15873015873,0.8193,22871
"2025",11823,4130,2,4130,4130,4000,59416,3600,8e+05,80,742.7,0.6969,22951
"4409",24206,11839,4,11839,11839,10732,286050,2800,490000,49,5837.75510204082,0.44445,23000
"1077",8342,6996,2,6996,6996,6828,12904,3200,640000,64,201.625,0.8268,23064
"16",90,12121,4,12121,12121,11030,311472,3600,8e+05,80,3893.4,0.95775,23144
"580",5524,8833,3,8833,8833,8479,126422,8400,2960000,296,427.101351351351,0.8928,23440
"6156",33161,5181,5,5181,5181,4945,767690,3000,560000,56,13708.75,0.2061,23496
"75",462,11911,3,11911,11911,10795,33410,3600,8e+05,80,417.625,0.9489,23576
"4760",26468,10196,4,10196,10196,9580,359761,5000,1500000,150,2398.40666666667,0.39855,23726
"4395",24133,11885,6,11885,11885,10774,347157,3600,8e+05,80,4339.4625,0.44625,23806
"1750",10929,14880,10,14880,14880,14099,2527946,13600,3380000,338,7479.13017751479,0.7326,24144
"5170",28800,8404,2,8404,8404,8217,384980,3600,8e+05,80,4812.25,0.34635,24224
"4988",27890,9165,7,9165,9165,8937,34466,8400,3450000,345,99.9014492753623,0.3699,24569
"6072",32950,5431,5,5431,5431,5206,2332734,3200,630000,63,37027.5238095238,0.2181,24632
"3290",17462,751,6,751,751,669,19700,6200,1890000,189,104.232804232804,0.53715,24821
"3504",18587,344,9,344,344,256,136433,6800,1490000,149,915.657718120805,0.5076,24970
"5512",30566,7807,6,7807,7807,7388,29563,21400,13480000,1348,21.9310089020772,0.29865,26318
"199",1487,22479,5,22479,22479,20380,102900,6400,1270000,127,810.236220472441,0.9336,26445
"1184",8862,20209,14,20209,20209,19407,2624627,11800,2760000,276,9509.51811594203,0.8115,26721
"1033",8165,7207,9,7207,7207,6879,138086,6400,1830000,183,754.568306010929,0.83295,26904
"2220",12634,3429,3,3429,3429,3241,187675,3400,720000,72,2606.59722222222,0.6732,26976
"5433",30115,7521,1,7521,7521,7349,203287,4000,1e+06,100,2032.87,0.3099,27076
"1629",10568,5082,6,5082,5082,4852,364139,2800,490000,49,7431.40816326531,0.7497,27125
