"","gridcode","OBJECTID","Join_Count","TARGET_FID","Id","Id_1","gridcode_1","Shape_Length_1","Shape_Area_1","Shape_Length","Shape_Area","area_ha","cum_area_ha"
"942",7068,15544,3,15544,15544,3714,124,64380,40437900,6000,1120000,112,993170
"7613",38633,12065,3,12065,12065,2658,42,3660,826200,3200,640000,64,993234
"5721",31182,6871,4,6871,6871,1518,42,12060,4892400,3600,800000,80,993314
"7208",36768,1221,2,1221,1221,232,41,6420,1944000,3400,700000,70,993384
"7722",39201,11673,4,11673,11673,2563,42,3180,631800,3200,640000,64,993448
"2844",15369,3441,6,3441,3441,752,122,16380,6245100,8400,2200000,220,993668
"6696",34751,6889,4,6889,6889,2705,83,3182940,3714028200,8400,2070000,207,993875
"4954",26952,9552,1,9552,9552,2170,90,30060,17694900,5000,1360000,136,994011
"2160",12233,7616,2,7616,7616,4060,82,6358560,7426404000,6800,1440000,144,994155
"1338",9277,6277,2,6277,6277,1347,81,6420,1792800,3400,700000,70,994225
"4482",24206,11839,2,11839,11839,2655,42,3026520,4013760600,2800,490000,49,994274
"8514",43364,7204,8,7204,7204,1405,122,6660,1385100,6400,1260000,126,994400
"6860",35536,2731,2,2731,2731,568,81,11460,4226400,4600,1200000,120,994520
"5345",29079,8061,1,8061,8061,2655,42,3026520,4013760600,3000,560000,56,994576
"2910",15743,1565,3,1565,1565,327,90,3060,583200,5200,1530000,153,994729
"7358",37247,712,3,712,712,111,81,6600,2700000,3000,560000,56,994785
"5728",31225,14000,6,14000,14000,3055,124,13380,4320000,6000,1120000,112,994897
"7243",36894,3354,11,3354,3354,713,163,38820,17397000,15200,4600000,460,995357
"5843",31830,6550,1,6550,6550,1436,81,11940,4626000,3000,560000,56,995413
"7460",37773,423,2,423,423,105,81,14760,6786000,6800,2190000,219,995632
"3327",18104,408,3,408,408,84,81,3660,826200,7000,2260000,226,995858
"5051",27560,9183,1,9183,9183,2191,21,86400,70120800,3600,800000,80,995938
"4680",25717,11131,2,11131,11131,2459,21,7800,2390400,3600,800000,80,996018
"284",2050,10735,3,10735,10735,2352,90,4380,1035000,3000,560000,56,996074
"3369",18358,235,2,235,235,47,43,2820,496800,2800,490000,49,996123
"1012",7600,7519,4,7519,7519,1681,90,2820,496800,8200,3100000,310,996433
"7579",38383,12144,3,12144,12144,2676,42,3420,712800,3000,560000,56,996489
"5174",28254,8803,5,8803,8803,2036,82,4020,1009800,4800,1190000,119,996608
"1113",8167,7107,2,7107,7107,1577,82,4800,1350000,3400,720000,72,996680
"1633",10419,5174,4,5174,5174,1064,81,3000,558900,2800,490000,49,996729
"1821",10973,10088,2,10088,10088,4060,82,6358560,7426404000,7400,1700000,170,996899
"6553",34205,8187,4,8187,8187,1656,162,14040,4552200,12000,3430000,343,997242
"8701",44383,1649,5,1649,1649,331,43,3240,656100,3600,800000,80,997322
"2580",14206,4976,2,4976,4976,4060,82,6358560,7426404000,9400,2700000,270,997592
