"","i","SumBA","PercBA","model"
"125","502","0.097446","0.00000173391780310928","FIA"
"126","920","1.088032005","0.0000193600359565522","FIA"
"127","345","4.130119","0.0000734897980733933","FIA"
"128","451","9.344574905","0.000166273882871207","FIA"
"129","766","2.318648","0.0000412571582860633","FIA"
"130","660","8.59263241","0.000152894098385493","FIA"
"131","742","0.950674565","0.0000169159488662097","FIA"
"132","822","1.57505","0.0000280258526341488","FIA"
"133","922","0.888421395","0.0000158082391627535","FIA"
"134","712","20.009453185","0.000356040751882613","FIA"
"135","974","0.2747345","0.00000488852329165205","FIA"
"136","743","1.5565745","0.0000276971064734922","FIA"
"137","760","0.467501","0.0000083185385431048","FIA"
"138","935","12.982406305","0.000231004098879766","FIA"
"139","367","0.0315555","0.00000056148680536928","FIA"
"140","731","50.85587385","0.000904910463858902","FIA"
"141","313","19.94171568","0.000354835455966335","FIA"
"142","682","8.036790725","0.00014300365862058","FIA"
"143","16","111.615250625","0.00198604016744855","FIA"
"144","341","12.727981775","0.000226476963624191","FIA"
"145","68","21.562456845","0.000383674320160099","FIA"
"146","471","4.95039305","0.0000880854487796671","FIA"
"147","611","154.83875754","0.0027551431388659","FIA"
"148","971","9.120618055","0.000162288878157384","FIA"
"149","544","91.906041755","0.00163534185099747","FIA"
"150","262","16.635253","0.000296001491450927","FIA"
"151","835","142.094093315","0.00252836933394444","FIA"
"152","761","40.423715475","0.000719284526095751","FIA"
"153","97","432.446378185","0.00769478966838145","FIA"
"154","552","5.0095855","0.0000891386971722604","FIA"
"155","817","3.871135","0.0000688815333080827","FIA"
"156","521","13.052435535","0.000232250172896503","FIA"
"157","998","13.8636555","0.000246684718589002","FIA"
"158","975","8.969161465","0.000159593916047095","FIA"
"159","658","0.22345","0.00000397598601384118","FIA"
"160","824","11.05576209","0.000196722109833053","FIA"
"161","952","131.29965273","0.00233629708156941","FIA"
"162","407","64.12494743","0.00114101541338099","FIA"
"163","402","111.13345918","0.00197746735005357","FIA"
"164","651","171.346433125","0.00304887456534605","FIA"
"165","500","11.4745826","0.000204174445881698","FIA"
"166","701","19.530314255","0.000347515132350875","FIA"
"167","318","512.460499775","0.00911853112441917","FIA"
"168","931","136.305711535","0.00242537302604534","FIA"
"169","972","18.64594875","0.000331779062183037","FIA"
"170","371","630.46787337","0.0112183103454702","FIA"
"171","131","917.380688855","0.0163235300436584","FIA"
"172","541","385.92805633","0.00686705998799281","FIA"
"173","951","364.91425044","0.00649314815842819","FIA"
"174","373","21.419512065","0.000381130814024357","FIA"
"175","531","479.57289061","0.00853334126508279","FIA"
"176","602","98.152748915","0.0017464934298774","FIA"
"177","391","13.18010669","0.000234521905841909","FIA"
"178","580","32.46425916","0.000577656927141981","FIA"
"179","356","189.045932695","0.00336381286358864","FIA"
"180","421","14.82331875","0.000263760608765763","FIA"
"181","129","4627.63755905","0.0823424578738374","FIA"
"182","123","141.0445612","0.00250969435068054","FIA"
"183","332","256.724938485","0.00456806786672902","FIA"
"184","319","3.46359272","0.0000616298778803408","FIA"
"185","315","53.86245464","0.000958408441798144","FIA"
"186","655","453.75149257","0.00807388493272715","FIA"
"187","261","2271.265664575","0.0404140546702524","FIA"
"188","581","235.87577655","0.00419708565033219","FIA"
"189","409","547.93517271","0.00974975423220682","FIA"
"190","591","36.887136355","0.000656355955417913","FIA"
"191","110","995.636212075","0.0177159796557799","FIA"
"192","802","2477.541041425","0.0440844418412321","FIA"
"193","762","439.02071591","0.00781177098341778","FIA"
"194","693","1016.75220928","0.018091709839514","FIA"
"195","403","1054.086748125","0.0187560267080794","FIA"
"196","837","1244.265573955","0.0221399978498508","FIA"
"197","812","469.849918935","0.00836033433112542","FIA"
"198","126","615.92577898","0.010959553738146","FIA"
"199","711","2148.514854595","0.0382298725101801","FIA"
"200","806","3393.784197015","0.0603877310419641","FIA"
"201","132","2575.13724179","0.0458210322536523","FIA"
"202","372","1561.6361003","0.0277871707026283","FIA"
"203","901","1057.731645995","0.0188208826622212","FIA"
"204","832","8236.010637035","0.146548503480413","FIA"
"205","491","99.82924249","0.0017763243316742","FIA"
"206","316","5277.11868937","0.0938990830266952","FIA"
"207","833","2987.21076733","0.0531533149756092","FIA"
"208","621","6220.70752189","0.110688951010209","FIA"
"209","952","67276.1537585258","0.00127369350020535","TW"
"210","951","205355.377858087","0.00388785320499854","TW"
"211","931","28943.4958094656","0.000547967450964231","TW"
"212","901","332662.525122628","0.00629807253148583","TW"
"213","837","726847.630400971","0.0137609100812195","TW"
"214","835","2605006.2739108","0.0493188057537229","TW"
"215","833","2605006.2739108","0.0493188057537229","TW"
"216","832","6400083.25781547","0.121168407984673","TW"
"217","812","240368.320480522","0.00455072934981093","TW"
"218","806","1934403.99504229","0.0366227505231656","TW"
"219","802","2289868.81431589","0.043352523326253","TW"
"220","762","308172.345688552","0.00583441667987448","TW"
"221","761","14113.1893151104","0.000267195380436648","TW"
"222","731","13672.7749911547","0.000258857316643149","TW"
"223","711","1287078.34255427","0.0243673757725588","TW"
"224","693","396084.245898746","0.00749879268285363","TW"
"225","655","65958.6650072336","0.00124875038492058","TW"
"226","651","77823.3121605515","0.00147337565133596","TW"
"227","621","4604028.19401735","0.0871649233475823","TW"
"228","611","99925.9195947014","0.00189182923189458","TW"
"229","602","26469.0244736448","0.000501119974097585","TW"
"230","591","4078.62358348072","0.0000772177964678202","TW"
"231","581","5884.9271402359","0.000111415308827024","TW"
"232","544","28510.9718934149","0.000539778770878051","TW"
"233","541","202801.238378346","0.00383949742554002","TW"
"234","531","441023.553258121","0.00834959791605429","TW"
"235","491","27926.6041940153","0.000528715336081722","TW"
"236","409","184444.757108852","0.00349196669476259","TW"
"237","407","28686.3869503811","0.000543099784423177","TW"
"238","403","479117.926815659","0.00907081268955019","TW"
"239","402","23349.4015469588","0.000442058282505147","TW"
"240","373","3558.72996307909","0.0000673750054027937","TW"
"241","372","781930.709501415","0.0148037604212279","TW"
"242","371","476264.947976947","0.00901679918847916","TW"
"243","356","24851.7625021338","0.000470501457042696","TW"
"244","332","92923.0402705818","0.00175924849742113","TW"
"245","318","771177.862804003","0.014600184113992","TW"
"246","316","5213942.91558769","0.0987120224777142","TW"
"247","315","28082.6996405423","0.000531670584628878","TW"
"248","261","1078348.03565159","0.0204156273394952","TW"
"249","132","936963.136685252","0.0177388835487163","TW"
"250","131","527888.144151792","0.00999414592657792","TW"
"251","129","2877549.15312991","0.054478674063594","TW"
"252","126","196268.721971884","0.00371582175114342","TW"
"253","123","35263.0156229734","0.000667610606245886","TW"
"254","110","273576.732036725","0.0051794415396174","TW"
"255","97","340991.165326595","0.0064557529918079","TW"
"256","16","346.012263208628","0.00000655081401089044","TW"
