"","i","SumBA","PercBA","model"
"1","373","282.518564456139","0.0000127717001949859","Jaccard"
"2","16","7009.36991097098","0.0003168696939651","Jaccard"
"3","952","31672.7871804968","0.00143181862398178","Jaccard"
"4","123","1693.55830035704","0.0000765599914346442","Jaccard"
"5","835","20125.7191166857","0.00090981508157391","Jaccard"
"6","812","74108.2533325825","0.00335018123626615","Jaccard"
"7","731","2311.09329461167","0.000104476641166018","Jaccard"
"8","131","360838.199776787","0.0163122636394502","Jaccard"
"9","97","296587.209861732","0.0134076956440485","Jaccard"
"10","371","130861.179594009","0.00591578736128104","Jaccard"
"11","602","5730.71591808058","0.000259066110396159","Jaccard"
"12","761","8306.81204950581","0.000375522625483449","Jaccard"
"13","951","60961.5660692503","0.0027558643686021","Jaccard"
"14","591","6941.84715492005","0.000313817220587707","Jaccard"
"15","611","65924.9915709809","0.00298024389767935","Jaccard"
"16","651","24283.1662239655","0.00109775907786635","Jaccard"
"17","126","40991.2623220877","0.00185307508552417","Jaccard"
"18","356","45157.6425172821","0.00204142291623676","Jaccard"
"19","837","141452.002500555","0.00639456232334762","Jaccard"
"20","132","536259.982136162","0.0242424837872021","Jaccard"
"21","806","857392.229998059","0.0387597768384726","Jaccard"
"22","544","7725.7502170744","0.000349254802932216","Jaccard"
"23","541","90562.2651044798","0.00409401095860663","Jaccard"
"24","402","16417.9239585931","0.000742198315451871","Jaccard"
"25","110","155426.651692737","0.00702630852436714","Jaccard"
"26","581","54235.7932467688","0.00245181513122303","Jaccard"
"27","693","230302.385209467","0.0104111849207067","Jaccard"
"28","833","1946836.75200093","0.0880098459122539","Jaccard"
"29","655","91015.135024118","0.00411448366223969","Jaccard"
"30","403","376014.482650124","0.0169983315985795","Jaccard"
"31","315","63922.8434698599","0.00288973361442522","Jaccard"
"32","931","25130.8629929367","0.00113608055599788","Jaccard"
"33","832","5242943.82222467","0.237015598481149","Jaccard"
"34","802","1088687.94161773","0.049215866656425","Jaccard"
"35","711","722399.066414911","0.0326571965815765","Jaccard"
"36","491","31448.5290493635","0.00142168067916164","Jaccard"
"37","409","54324.7495316455","0.002455836541296","Jaccard"
"38","901","571387.877920695","0.0258304960804983","Jaccard"
"39","762","111178.015919237","0.00502597870100075","Jaccard"
"40","621","1053034.79328648","0.0476041094879336","Jaccard"
"41","407","9041.13273523082","0.00040871875779111","Jaccard"
"42","332","24511.6811072246","0.00110808945592379","Jaccard"
"43","316","3303094.971242","0.149321651727484","Jaccard"
"44","129","2494535.13252339","0.112769420656582","Jaccard"
"45","531","162236.980321313","0.00733418024119021","Jaccard"
"46","372","330507.438838111","0.0149411134421516","Jaccard"
"47","318","313654.741000247","0.0141792604832983","Jaccard"
"48","261","831200.103145803","0.0375757201649934","Jaccard"
"49","373","282.518564456139","0.0000127717001949859","CB"
"50","16","7009.36991097098","0.0003168696939651","CB"
"51","952","31672.7871804968","0.00143181862398178","CB"
"52","123","1693.55830035704","0.0000765599914346442","CB"
"53","835","20125.7191166857","0.00090981508157391","CB"
"54","812","74108.2533325825","0.00335018123626615","CB"
"55","731","2311.09329461167","0.000104476641166018","CB"
"56","131","360838.199776787","0.0163122636394502","CB"
"57","97","296587.209861732","0.0134076956440485","CB"
"58","371","130861.179594009","0.00591578736128104","CB"
"59","602","5730.71591808058","0.000259066110396159","CB"
"60","761","8306.81204950581","0.000375522625483449","CB"
"61","951","60961.5660692503","0.0027558643686021","CB"
"62","591","6941.84715492005","0.000313817220587707","CB"
"63","611","65924.9915709809","0.00298024389767935","CB"
"64","651","24283.1662239655","0.00109775907786635","CB"
"65","126","40991.2623220877","0.00185307508552417","CB"
"66","356","45157.6425172821","0.00204142291623676","CB"
"67","837","141452.002500555","0.00639456232334762","CB"
"68","132","536259.982136162","0.0242424837872021","CB"
"69","806","857392.229998059","0.0387597768384726","CB"
"70","544","7725.7502170744","0.000349254802932216","CB"
"71","541","90562.2651044798","0.00409401095860663","CB"
"72","402","16417.9239585931","0.000742198315451871","CB"
"73","110","155426.651692737","0.00702630852436714","CB"
"74","581","54235.7932467688","0.00245181513122303","CB"
"75","693","230302.385209467","0.0104111849207067","CB"
"76","833","1946836.75200093","0.0880098459122539","CB"
"77","655","91015.135024118","0.00411448366223969","CB"
"78","403","376014.482650124","0.0169983315985795","CB"
"79","315","63922.8434698599","0.00288973361442522","CB"
"80","931","25130.8629929367","0.00113608055599788","CB"
"81","832","5242943.82222467","0.237015598481149","CB"
"82","802","1088687.94161773","0.049215866656425","CB"
"83","711","722399.066414911","0.0326571965815765","CB"
"84","491","31448.5290493635","0.00142168067916164","CB"
"85","409","54324.7495316455","0.002455836541296","CB"
"86","901","571387.877920695","0.0258304960804983","CB"
"87","762","111178.015919237","0.00502597870100075","CB"
"88","621","1053034.79328648","0.0476041094879336","CB"
"89","407","9041.13273523082","0.00040871875779111","CB"
"90","332","24511.6811072246","0.00110808945592379","CB"
"91","316","3303094.971242","0.149321651727484","CB"
"92","129","2494535.13252339","0.112769420656582","CB"
"93","531","162236.980321313","0.00733418024119021","CB"
"94","372","330507.438838111","0.0149411134421516","CB"
"95","318","313654.741000247","0.0141792604832983","CB"
"96","261","831200.103145803","0.0375757201649934","CB"
"97","405","0.44145","0.0000078549967590521","FIA"
"98","953","0.105512","0.00000187744120068208","FIA"
"99","662","0.17084224","0.00000303990314080689","FIA"
"100","412","6.279817","0.000111740723031918","FIA"
"101","314","2.9655085","0.0000527671529197903","FIA"
"102","400","0.92024122","0.0000163744292686514","FIA"
"103","406","0.0458345","0.000000815562009180594","FIA"
"104","680","2.485418","0.0000442246015061496","FIA"
"105","641","0.2163105","0.00000384894841193553","FIA"
"106","462","0.4488075","0.00000798591337170296","FIA"
"107","834","0.524617","0.00000933483935835006","FIA"
"108","652","0.6959105","0.0000123827720513995","FIA"
"109","299","4.461915","0.0000793936524276043","FIA"
"110","681","1.43178258","0.0000254766055625037","FIA"
"111","763","4.711907045","0.0000838419176972018","FIA"
"112","654","0.13952","0.00000248256687693498","FIA"
"113","461","0.107849505","0.00000191903389339761","FIA"
"114","831","8.90789638","0.000158503787959841","FIA"
"115","800","4.8084805","0.0000855603097598034","FIA"
"116","311","5.142738265","0.0000915079678428547","FIA"
"117","827","49.903688545","0.000887967633448228","FIA"
"118","410","12.64236282","0.000224953491851536","FIA"
"119","826","19.662994505","0.000349875995265679","FIA"
"120","813","7.497129","0.000133401119033176","FIA"
"121","663","0.3488","0.00000620641719233746","FIA"
"122","999","1.1800885","0.000020998054916513","FIA"
"123","481","1.3828285","0.0000246055349095591","FIA"
"124","601","1.8786695","0.0000334283448495413","FIA"
