# precip,,,
,eco1,eco1,eco1
TIMESTEP,MEAN(mm/m),STD_DEV(mm/m),VARIANCE(mm/m^2)
2099-12-28,59.35328624,6.100866967,37.22057775
2099-11-27,27.14514227,4.844730922,23.47141771
2099-10-27,51.38293049,19.0653683,363.4882683
2099-09-27,79.86592889,13.05537491,170.442814
2099-08-27,24.83048151,6.134234333,37.62883085
2099-07-28,138.1163689,23.95982945,574.0734273
2099-06-27,129.1341439,27.06346285,732.4310216
2099-05-27,46.01077403,8.920289345,79.57156201
2099-04-27,134.0846499,16.93778448,286.8885432
2099-03-27,57.66777589,26.35143446,694.398098
2099-02-25,144.1940393,18.91245191,357.6808372
2099-01-25,161.4417164,11.75390694,138.1543283
2098-12-28,59.35328624,6.100866967,37.22057775
2098-11-27,27.14514227,4.844730922,23.47141771
2098-10-27,116.5759358,21.52144344,463.1725279
2098-09-27,75.81081246,17.7440588,314.8516227
2098-08-27,181.9654517,39.37258545,1550.200485
2098-07-28,189.0318907,64.76817367,4194.916321
2098-06-27,34.87604906,6.973279893,48.62663246
2098-05-27,119.8569729,25.45238256,647.8237777
2098-04-27,102.2167809,20.88190583,436.053991
2098-03-27,45.10862701,8.786781855,77.20753536
2098-02-25,126.9012315,20.02113545,400.8458649
2098-01-25,113.6471676,11.78628486,138.9165108
2097-12-28,44.49302581,7.755713217,60.1510875
2097-11-27,38.89961416,4.24497594,18.01982074
2097-10-27,181.6669627,54.2965856,2948.119208
2097-09-27,67.72063672,10.40427448,108.2489276
2097-08-27,26.93845603,4.989174255,24.89185975
2097-07-28,96.04681924,29.0461619,843.6795212
2097-06-27,136.1172112,34.44964084,1186.777754
2097-05-27,89.06183845,23.60906663,557.3880269
2097-04-27,91.21431722,15.1034288,228.1135614
2097-03-27,75.4422731,13.31527741,177.2966125
2097-02-25,47.38810596,13.05554649,170.4472943
2097-01-25,145.4955029,26.00893984,676.4649517
2096-12-28,122.326522,18.29700343,334.7803344
2096-11-27,116.3064065,12.83586,164.759302
2096-10-27,101.37338,20.83008237,433.8923314
2096-09-27,63.30821763,8.353441883,69.77999129
2096-08-27,44.74284825,9.503019317,90.30737613
2096-07-28,155.278961,17.42608856,303.6685625
2096-06-27,124.0400952,26.26508821,689.8548585
2096-05-27,132.5611427,21.35918051,456.2145919
2096-04-27,100.5244597,19.11195402,365.2667865
2096-03-27,74.74483062,11.98574287,143.6580321
2096-02-26,53.65949746,9.017745171,81.31972796
2096-01-26,118.0957701,13.08575129,171.2368868
2095-12-29,84.98625677,11.50294988,132.3178559
2095-11-28,92.66315187,15.09137017,227.7494536
2095-10-28,62.44734297,10.12892692,102.5951606
2095-09-28,143.8107503,14.30329426,204.5842267
2095-08-28,83.35236795,12.63128628,159.549393
2095-07-28,99.18378042,17.4832697,305.6647194
2095-06-28,283.0530282,77.08324903,5941.827281
2095-05-28,90.26072943,15.67527689,245.7143055
2095-04-28,51.27308556,10.82538768,117.1890185
2095-03-28,105.5930582,22.54555488,508.3020449
2095-02-26,30.13105294,5.03554777,25.35674135
2095-01-26,77.63262174,12.23543562,149.7058847
2094-12-29,78.30983348,6.744428161,45.48731122
2094-11-28,105.5735314,11.63703717,135.4206341
2094-10-28,74.28175268,5.636302031,31.76790059
2094-09-28,82.06318302,9.915536696,98.31786797
2094-08-28,254.9360497,51.35291399,2637.121776
