Time,EcoName,NumActiveSites,AboveGroundBiomass_PinuTaed,AboveGroundBiomass_LiquStyr,AboveGroundBiomass_AcerRubr,AboveGroundBiomass_LiriTuli,AboveGroundBiomass_PinuEchi,AboveGroundBiomass_QuerAlba,AboveGroundBiomass_CornFlor,AboveGroundBiomass_OxydArbo,AboveGroundBiomass_PinuVirg,AboveGroundBiomass_PinuPalu,AboveGroundBiomass_QuerLaev,
0, eco1, 1540697, 1445.38761547533, 376.640526982268, 214.752771635176, 340.705320384216, 102.380362913668, 384.995085341245, 6.29179650508828, 24.6532926331394, 56.9406320645786, 262.182876970618, 8.59352682584571, 
0, eco2, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, eco1, 1540697, 1404.76094715574, 378.077483762219, 266.668484458657, 317.811387962721, 108.270251061695, 445.322845439434, 6.60986099148632, 22.6781761761073, 70.0080904941075, 358.62662418373, 7.57332168492572, 
5, eco2, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
10, eco1, 1540697, 1185.74254444579, 349.694017058513, 295.307432934574, 239.879790770022, 110.956522275308, 459.113809529064, 7.02824111424894, 19.6224987781504, 75.061888872374, 432.80785514608, 6.29133048224278, 
10, eco2, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
15, eco1, 1540697, 1124.72720009191, 336.915590800787, 338.646107573391, 222.677639406061, 117.652785070653, 513.496607704175, 7.64110399384175, 17.1591364168295, 79.3282754493583, 518.466386966418, 5.804821454186, 
15, eco2, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
20, eco1, 1540697, 1062.01057962727, 366.51126211059, 412.628591475157, 149.388203520874, 116.636458693695, 594.092057036523, 9.52174243215895, 17.528776261653, 78.6801428184776, 498.145672380747, 6.92157121095193, 
20, eco2, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
25, eco1, 1540697, 1207.56885163014, 350.455081693545, 429.463570059525, 149.993037566764, 135.5207286053, 618.436266183422, 10.1613879951736, 16.4220433998379, 81.1583069221268, 617.692769571175, 7.07269047710225, 
25, eco2, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
30, eco1, 1540697, 1176.46387057286, 356.806734873892, 451.793091698108, 85.0469099375153, 117.282427368912, 651.806143583067, 11.0164029656707, 15.9778029034911, 66.7693355669544, 574.778019299058, 7.57953575557037, 
30, eco2, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
35, eco1, 1540697, 1318.62062300374, 382.789982715615, 513.069929389101, 86.9080143597346, 121.493662284018, 724.570073155202, 13.1541471165323, 17.2858511439952, 68.2275444165855, 624.273119244082, 9.15907735265273, 
35, eco2, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
40, eco1, 1540697, 1489.31061785672, 395.883894107667, 545.359447704513, 94.8752999454143, 134.810892083258, 782.712270485371, 14.7115415944861, 18.1169542096856, 69.6833329330816, 716.243911684127, 10.0299520282054, 
40, eco2, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
45, eco1, 1540697, 1544.8123096235, 396.204010911944, 565.154670256384, 99.8227159525851, 142.212128017384, 808.370294094167, 15.8946827312573, 18.228716613325, 70.7084929742837, 787.795771653998, 10.6554851473067, 
45, eco2, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
50, eco1, 1540697, 1560.98484581978, 398.917472416705, 584.365558575112, 94.3939411837629, 134.167169144874, 832.632896020438, 17.4859248768577, 19.0644442093416, 66.0447018459827, 767.570245804334, 12.1682530698768, 
50, eco2, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
55, eco1, 1540697, 1618.85744503949, 396.808478889749, 599.976358102859, 96.1935656394476, 140.422728803911, 840.096595242283, 19.2233132147333, 19.9774368354063, 65.5172976905907, 836.245012484609, 13.1393843176173, 
55, eco2, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
60, eco1, 1540697, 1629.89888472555, 400.740146180592, 621.342618308467, 97.664161739784, 143.570613170533, 863.289709787194, 20.527739717803, 20.3532174074461, 63.7108613828676, 887.99566819433, 14.1909077514917, 
60, eco2, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
65, eco1, 1540697, 1585.64778408733, 415.51712049806, 659.898971050116, 75.8995383258356, 135.936425526888, 892.952645458516, 23.4853394275448, 22.7814372326291, 51.1969829239623, 853.617012949334, 15.9473932901797, 
65, eco2, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
70, eco1, 1540697, 1073.88131864994, 377.672212641421, 638.681580479484, 13.2411720150036, 76.8363662679943, 422.723937282931, 23.7969496922497, 23.4013274511471, 26.3117095704087, 552.435969564424, 13.7809368097686, 
70, eco2, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
75, eco1, 1540697, 1056.04016493834, 419.806874421122, 749.399677548538, 14.5203404692811, 77.3971332455376, 485.705172399245, 31.494346389978, 30.8431339841643, 22.9555876333893, 598.674776416129, 16.4179790056059, 
75, eco2, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
