"","l","k","m","ic.cohort.biomass.gm"
"79","18","PinuEnch","20","2.02359805773"
"80","18","AcerRubr","50","225.96844977985"
"81","18","PinuTaed","10","3702.50991295999"
"82","18","PinuTaed","20","1260.02705727988"
"83","18","LiquStyr","20","107.9252297456"
"84","18","LiquStyr","30","99.15630482877"
"85","19","PinuTaed","10","406.74320960373"
"86","19","PinuTaed","20","207.75606726028"
"87","19","QuerAlba","30","248.22802841488"
"88","19","QuerAlba","20","37.09929772505"
"89","20","PinuTaed","10","3409.08819458914"
"90","20","LiquStyr","20","31.70303623777"
"91","20","LiriTuli","30","38.44836309687"
"92","20","LiriTuli","50","180.77475982388"
"93","20","QuerAlba","30","1059.69084956461"
"94","21","PinuTaed","10","567.28198885031"
"95","21","AcerRubr","30","178.75116176615"
"96","21","AcerRubr","40","101.1799028865"
"97","22","LiquStyr","20","270.48760704991"
"98","22","LiquStyr","10","18.21238251957"
"99","22","PinuTaed","10","618.54647297947"
"100","22","AcerRubr","30","309.61050283269"
"101","22","AcerRubr","10","2.69813074364"
"102","22","QuerAlba","20","638.78245355677"
"103","22","LiriTuli","20","63.40607247554"
"104","22","LiriTuli","10","1.34906537182"
"105","23","PinuTaed","10","790.55230788652"
"106","24","PinuTaed","10","899.15207031803"
"107","24","LiriTuli","20","5.39626148728"
"108","24","LiquStyr","10","14.16518640411"
"109","24","LiquStyr","20","18.88691520548"
"110","24","AcerRubr","20","1.34906537182"
"111","24","AcerRubr","10","1.34906537182"
"112","25","PinuTaed","10","301.51611060177"
"113","25","LiquStyr","20","53.28808218689"
"114","26","PinuTaed","10","820.23174606656"
"115","26","AcerRubr","10","1.34906537182"
"116","27","LiquStyr","10","17.53784983366"
"117","27","LiquStyr","20","18.88691520548"
"118","27","PinuTaed","10","164.58597536204"
"119","27","AcerRubr","30","43.17009189824"
"120","27","AcerRubr","20","80.9439223092"
"121","27","AcerRubr","10","2.02359805773"
"122","28","PinuTaed","10","5445.50237335143"
"123","29","PinuTaed","10","2916.00480118893"
"124","29","AcerRubr","10","0.67453268591"
"125","29","LiquStyr","10","15.51425177593"
"126","29","LiquStyr","20","23.60864400685"
"127","30","AcerRubr","10","12.81612103229"
"128","30","LiquStyr","10","7.41985954501"
"129","31","PinuTaed","10","1342.99457764681"
"130","31","QuerAlba","20","61.38247441781"
"131","31","LiriTuli","50","87.6892491683"
"132","32","OxydArbo","20","16.86331714775"
"133","32","LiquStyr","20","74.87312813601"
"134","32","AcerRubr","10","3.37266342955"
"135","33","PinuTaed","10","1260.02705727988"
"136","33","PinuTaed","20","796.62310205971"
"137","33","AcerRubr","60","266.44041093445"
"138","33","AcerRubr","30","53.9626148728"
"139","33","LiquStyr","20","188.19461936889"
"140","33","LiquStyr","50","197.63807697163"
"141","33","LiquStyr","40","162.56237730431"
"142","33","LiquStyr","10","10.11799028865"
"143","33","LiriTuli","140","233.38830932486"
"144","34","LiquStyr","10","1.34906537182"
"145","34","LiquStyr","20","368.96937919277"
"146","34","LiriTuli","40","353.45512741684"
"147","34","LiriTuli","50","90.38737991194"
"148","34","LiriTuli","30","39.12289578278"
"149","34","AcerRubr","40","159.18971387476"
"150","34","AcerRubr","50","82.29298768102"
"151","34","AcerRubr","30","182.1238251957"
"152","35","PinuTaed","10","1226.30042298438"
"153","35","AcerRubr","20","1.34906537182"
"154","35","AcerRubr","60","103.20350094423"
"155","35","AcerRubr","30","6.07079417319"
"156","35","LiriTuli","40","35.75023235323"
"157","35","LiquStyr","10","1.34906537182"
"158","35","LiquStyr","30","31.70303623777"
"159","36","LiquStyr","30","93.08551065558"
"160","36","LiquStyr","40","464.07848790608"
"161","36","AcerRubr","40","300.84157791586"
"162","36","PinuTaed","20","271.16213973582"
"163","36","PinuTaed","10","300.84157791586"
"164","37","OxydArbo","30","279.25653196674"
"165","37","AcerRubr","40","313.65769894815"
"166","37","LiriTuli","90","347.38433324365"
"167","37","LiriTuli","10","3.37266342955"
"168","37","LiriTuli","20","4.04719611546"
"169","37","LiriTuli","100","263.0677475049"
"170","37","PinuVirg","40","76.22219350783"
"171","37","QuerAlba","40","130.85934106654"
"172","37","QuerAlba","140","1179.08313497068"
"173","38","LiquStyr","20","73.52406276419"
"174","38","LiquStyr","30","62.05700710372"
"175","38","LiquStyr","40","308.26143746087"
"176","38","LiquStyr","70","290.72358762721"
"177","38","AcerRubr","40","143.00092941292"
"178","38","AcerRubr","20","2.69813074364"
"179","38","AcerRubr","30","52.61354950098"
"180","38","AcerRubr","50","198.31260965754"
"181","38","AcerRubr","60","350.08246398729"
"182","38","PinuEnch","100","373.01657530823"
"183","38","PinuEnch","40","33.7266342955"
"184","38","PinuVirg","90","512.6448412916"
"185","38","PinuVirg","60","26.9813074364"
"186","38","PinuTaed","10","291.39812031312"
"187","38","PinuTaed","20","943.67122758809"
"188","39","LiquStyr","50","835.74599784249"
"189","39","AcerRubr","10","1.34906537182"
"190","40","PinuVirg","40","242.15723424169"
"191","40","PinuVirg","50","601.00862314581"
"192","40","PinuVirg","30","281.95466271038"
"193","40","AcerRubr","20","4.04719611546"
"194","40","AcerRubr","10","2.69813074364"
"195","40","AcerRubr","50","212.47779606165"
"196","40","LiriTuli","40","78.92032425147"
"197","40","LiriTuli","20","32.37756892368"
"198","40","LiriTuli","30","87.6892491683"
"199","40","CornFlor","20","72.84953007828"
"200","41","LiriTuli","10","1.34906537182"
"201","41","PinuTaed","10","50.58995144325"
"202","41","AcerRubr","10","9.44345760274"
"203","41","AcerRubr","20","82.96752036693"
"204","41","QuerAlba","20","48.56635338552"
"205","41","LiquStyr","30","680.60348008319"
"206","41","LiquStyr","10","3.37266342955"
"207","42","LiquStyr","10","7.41985954501"
"208","42","PinuVirg","10","6.7453268591"
"209","42","PinuVirg","20","6.07079417319"
"210","42","LiriTuli","10","2.02359805773"
"211","43","CornFlor","10","0.67453268591"
"212","43","PinuVirg","20","4.04719611546"
"213","43","AcerRubr","20","3.37266342955"
"214","44","LiquStyr","20","55.31168024462"
"215","44","PinuTaed","10","762.2219350783"
"216","44","LiriTuli","170","550.41867170256"
"217","45","PinuTaed","10","1183.13033108614"
"218","45","LiquStyr","20","31.02850355186"
"219","45","LiquStyr","10","0.67453268591"
"220","45","LiquStyr","30","90.38737991194"
"221","45","AcerRubr","30","184.82195593934"
"222","45","AcerRubr","20","33.7266342955"
"223","45","AcerRubr","50","262.39321481899"
"224","45","AcerRubr","40","128.1612103229"
"225","46","AcerRubr","20","12.81612103229"
"226","46","AcerRubr","10","0.67453268591"
"227","46","LiquStyr","20","13.4906537182"
"228","46","LiquStyr","10","0.67453268591"
"229","46","PinuTaed","10","223.27031903621"
"230","47","PinuTaed","10","103.20350094423"
"231","47","LiquStyr","10","4.72172880137"
"232","48","PinuTaed","10","118.71775272016"
"233","49","PinuTaed","20","3465.74894020558"
"234","49","PinuTaed","10","1258.00345922215"
"235","49","LiquStyr","20","4.72172880137"
"236","49","LiquStyr","30","307.58690477496"
"237","49","LiquStyr","10","7.41985954501"
"238","49","LiquStyr","40","357.5023235323"
"239","49","LiriTuli","140","550.41867170256"
"240","49","QuerAlba","30","111.97242586106"
"241","50","PinuTaed","10","2861.36765363022"
"242","50","AcerRubr","30","46.54275532779"
"243","50","LiquStyr","10","1.34906537182"
"244","51","LiriTuli","20","8.09439223092"
"245","51","LiriTuli","30","194.93994622799"
"246","51","LiriTuli","40","323.10115655089"
"247","51","LiriTuli","10","4.04719611546"
"248","51","CornFlor","10","0.67453268591"
"249","51","AcerRubr","20","64.75513784736"
