Time,EcoregionName,EcoregionIndex,TAP,MAT,BeginGrow,EndGrow,PDSI,
2019, eco1, 0, 116.35, 16.52, 27, 291, 0, 
2020, eco1, 0, 124.75, 16.7, 0, 306, 0, 
2021, eco1, 0, 129.72, 16.9, 51, 290, 0, 
2022, eco1, 0, 162.68, 16.3, 0, 326, 0, 
2023, eco1, 0, 145.76, 16.2, 59, 317, 0, 
2024, eco1, 0, 135.42, 16.45, 24, 303, 0, 
2025, eco1, 0, 109.11, 16.98, 18, 308, 0, 
2026, eco1, 0, 104.86, 17.13, 0, 282, 0, 
2027, eco1, 0, 139.58, 16.71, 32, 321, 0, 
2028, eco1, 0, 137.12, 16.27, 23, 308, 0, 
2029, eco1, 0, 119.2, 16.77, 43, 297, 0, 
2030, eco1, 0, 155.89, 17.4, 18, 295, 0, 
2031, eco1, 0, 140.14, 17.15, 0, 283, 0, 
2032, eco1, 0, 131.32, 16.78, 29, 314, 0, 
2033, eco1, 0, 116.96, 16.86, 0, 290, 0, 
2034, eco1, 0, 111.12, 17.94, 0, 316, 0, 
2035, eco1, 0, 143.72, 17.71, 27, 321, 0, 
2036, eco1, 0, 113.35, 17.08, 53, 284, 0, 
2037, eco1, 0, 152.96, 16.26, 37, 277, 0, 
2038, eco1, 0, 96.68, 17.6, 0, 289, 0, 
2039, eco1, 0, 122.14, 18.28, 16, 324, 0, 
2040, eco1, 0, 139.04, 17.4, 49, 302, 0, 
2041, eco1, 0, 133.04, 17.57, 46, 324, 0, 
2042, eco1, 0, 122.6, 16.71, 24, 315, 0, 
2043, eco1, 0, 110.56, 16.67, 48, 323, 0, 
2044, eco1, 0, 154.06, 16.36, 0, 304, 0, 
2045, eco1, 0, 88.91, 17.13, 60, 315, 0, 
2046, eco1, 0, 140.79, 19.65, 0, 311, 0, 
2047, eco1, 0, 96.69, 17.58, 36, 312, 0, 
2048, eco1, 0, 139.25, 17.74, 0, 333, 0, 
2049, eco1, 0, 128.76, 17.06, 0, 287, 0, 
2050, eco1, 0, 135.23, 16.49, 0, 307, 0, 
2051, eco1, 0, 182.32, 18.28, 0, 312, 0, 
2052, eco1, 0, 96.09, 16.05, 52, 294, 0, 
2053, eco1, 0, 137.11, 17.66, 0, 304, 0, 
2054, eco1, 0, 105.03, 17.92, 0, 350, 0, 
2055, eco1, 0, 143.99, 17.06, 0, 310, 0, 
2056, eco1, 0, 125.78, 17.08, 0, 317, 0, 
2057, eco1, 0, 107.86, 17.25, 0, 310, 0, 
2058, eco1, 0, 122.52, 16.57, 55, 294, 0, 
2059, eco1, 0, 135.68, 17.46, 45, 309, 0, 
2060, eco1, 0, 118.97, 18.52, 20, 312, 0, 
2061, eco1, 0, 117.37, 18.39, 0, 287, 0, 
2062, eco1, 0, 140.37, 17.68, 0, 365, 0, 
2063, eco1, 0, 147.53, 18.29, 0, 284, 0, 
2064, eco1, 0, 139.76, 17.28, 0, 321, 0, 
2065, eco1, 0, 123.97, 18.39, 0, 321, 0, 
2066, eco1, 0, 133.64, 18.96, 0, 330, 0, 
2067, eco1, 0, 97.33, 18.28, 0, 312, 0, 
2068, eco1, 0, 136.53, 18.83, 0, 323, 0, 
2069, eco1, 0, 143.85, 17.37, 54, 323, 0, 
2070, eco1, 0, 119.33, 17.54, 51, 322, 0, 
2071, eco1, 0, 118.47, 17.24, 52, 317, 0, 
2072, eco1, 0, 100.54, 17.96, 50, 299, 0, 
2073, eco1, 0, 103.58, 18.07, 0, 365, 0, 
2074, eco1, 0, 96.26, 17.44, 52, 330, 0, 
2075, eco1, 0, 125.32, 19.13, 0, 329, 0, 
2076, eco1, 0, 119.25, 17.01, 63, 313, 0, 
2077, eco1, 0, 144.66, 18.12, 0, 317, 0, 
2078, eco1, 0, 105.49, 18.81, 0, 305, 0, 
2079, eco1, 0, 159.08, 17.82, 0, 308, 0, 
2080, eco1, 0, 91.83, 17.54, 76, 365, 0, 
2081, eco1, 0, 141.25, 16.78, 82, 341, 0, 
2082, eco1, 0, 127.17, 18.32, 61, 342, 0, 
2083, eco1, 0, 142.24, 18.16, 0, 365, 0, 
2084, eco1, 0, 192, 17.02, 46, 336, 0, 
2085, eco1, 0, 116.91, 19.03, 0, 334, 0, 
2086, eco1, 0, 122.14, 19.53, 0, 365, 0, 
2087, eco1, 0, 115.38, 18.39, 0, 349, 0, 
2088, eco1, 0, 132.17, 18.23, 50, 365, 0, 
2089, eco1, 0, 141.99, 17.77, 53, 337, 0, 
2090, eco1, 0, 125.08, 18.12, 0, 346, 0, 
2091, eco1, 0, 136.19, 18.1, 47, 337, 0, 
2092, eco1, 0, 131.78, 19.52, 0, 365, 0, 
2093, eco1, 0, 147.55, 17.99, 0, 365, 0, 
2094, eco1, 0, 143.59, 18.48, 57, 365, 0, 
2095, eco1, 0, 148.88, 18.08, 53, 365, 0, 
2096, eco1, 0, 108.43, 18.51, 0, 333, 0, 
2097, eco1, 0, 145.82, 18.01, 61, 365, 0, 
2098, eco1, 0, 110.34, 17.87, 0, 342, 0, 
